Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,delay_total
2008,1,1,Tuesday,555,600,826,835,AA,1614,N438AA,151,155,133,-9,-5,AUS,ORD,978,7,11,0,NA,0,NA,NA,NA,NA,NA,-4
2008,1,1,Tuesday,601,600,654,700,AA,1157,N4XAAA,53,60,38,-6,1,AUS,DFW,190,5,10,0,NA,0,NA,NA,NA,NA,NA,-7
2008,1,1,Tuesday,650,650,1139,1145,AA,1182,N4WAAA,169,175,153,-6,0,LAX,AUS,1242,4,12,0,NA,0,NA,NA,NA,NA,NA,-6
2008,1,1,Tuesday,712,705,805,805,AA,652,N432AA,53,60,36,0,7,AUS,DFW,190,6,11,0,NA,0,NA,NA,NA,NA,NA,-7
2008,1,1,Tuesday,736,740,838,840,AA,1958,N526AA,62,60,38,-2,-4,AUS,DFW,190,13,11,0,NA,0,NA,NA,NA,NA,NA,2
2008,1,1,Tuesday,745,755,859,905,AA,1465,N4XPAA,194,190,179,-6,-10,AUS,SNA,1209,4,11,0,NA,0,NA,NA,NA,NA,NA,4
2008,1,1,Tuesday,811,815,1048,1100,AA,1199,N491AA,157,165,139,-12,-4,ORD,AUS,978,4,14,0,NA,0,NA,NA,NA,NA,NA,-8
2008,1,1,Tuesday,832,800,929,900,AA,1109,N404AA,57,60,36,29,32,DFW,AUS,190,4,17,0,NA,0,29,0,0,0,0,-3
2008,1,1,Tuesday,834,835,936,935,AA,450,N406AA,62,60,35,1,-1,AUS,DFW,190,13,14,0,NA,0,NA,NA,NA,NA,NA,2
2008,1,1,Tuesday,850,850,957,1010,AA,379,N455AA,187,200,173,-13,0,AUS,LAX,1242,4,10,0,NA,0,NA,NA,NA,NA,NA,-13
2008,1,1,Tuesday,857,900,946,1000,AA,1743,N3CFAA,49,60,35,-14,-3,AUS,DFW,190,5,9,0,NA,0,NA,NA,NA,NA,NA,-11
2008,1,1,Tuesday,923,925,1014,1025,AA,421,N526AA,51,60,37,-11,-2,DFW,AUS,190,2,12,0,NA,0,NA,NA,NA,NA,NA,-9
2008,1,1,Tuesday,1006,1005,1236,1235,AA,368,N4WTAA,150,150,131,1,1,AUS,ORD,978,8,11,0,NA,0,NA,NA,NA,NA,NA,0
2008,1,1,Tuesday,1007,945,1109,1045,AA,511,N404AA,62,60,34,24,22,AUS,DFW,190,15,13,0,NA,0,0,0,2,0,22,2
2008,1,1,Tuesday,1045,1050,1149,1155,AA,2024,N474AA,64,65,38,-6,-5,AUS,DFW,190,10,16,0,NA,0,NA,NA,NA,NA,NA,-1
2008,1,1,Tuesday,1059,1040,1150,1140,AA,1477,N533AA,51,60,33,10,19,DFW,AUS,190,3,15,0,NA,0,NA,NA,NA,NA,NA,-9
2008,1,1,Tuesday,1107,1110,1219,1230,AA,813,N526AA,192,200,170,-11,-3,AUS,LAX,1242,12,10,0,NA,0,NA,NA,NA,NA,NA,-8
2008,1,1,Tuesday,1129,1130,1226,1230,AA,1717,N484AA,57,60,35,-4,-1,DFW,AUS,190,4,18,0,NA,0,NA,NA,NA,NA,NA,-3
2008,1,1,Tuesday,1136,1140,1413,1415,AA,2486,N491AA,157,155,136,-2,-4,AUS,ORD,978,4,17,0,NA,0,NA,NA,NA,NA,NA,2
2008,1,1,Tuesday,1224,1220,1553,1605,AA,1198,N4WAAA,149,165,126,-12,4,AUS,RDU,1162,11,12,0,NA,0,NA,NA,NA,NA,NA,-16
2008,1,1,Tuesday,1226,1215,1739,1735,AA,1024,N530AA,193,200,180,4,11,SJC,AUS,1476,3,10,0,NA,0,NA,NA,NA,NA,NA,-7
2008,1,1,Tuesday,1235,1235,1348,1335,AA,668,N552AA,73,60,36,13,0,DFW,AUS,190,4,33,0,NA,0,NA,NA,NA,NA,NA,13
2008,1,1,Tuesday,1241,1230,1512,1515,AA,1545,N580AA,151,165,136,-3,11,ORD,AUS,978,3,12,0,NA,0,NA,NA,NA,NA,NA,-14
2008,1,1,Tuesday,1243,1225,1339,1325,AA,1526,N533AA,56,60,38,14,18,AUS,DFW,190,8,10,0,NA,0,NA,NA,NA,NA,NA,-4
2008,1,1,Tuesday,1309,1305,1800,1805,AA,1308,N565AA,171,180,151,-5,4,LAX,AUS,1242,7,13,0,NA,0,NA,NA,NA,NA,NA,-9
2008,1,1,Tuesday,1341,1325,1435,1425,AA,418,N484AA,54,60,39,10,16,AUS,DFW,190,7,8,0,NA,0,NA,NA,NA,NA,NA,-6
2008,1,1,Tuesday,1406,1410,1606,1625,AA,1563,N4XMAA,120,135,101,-19,-4,STL,AUS,722,7,12,0,NA,0,NA,NA,NA,NA,NA,-15
2008,1,1,Tuesday,1421,1415,1513,1515,AA,422,N552AA,52,60,36,-2,6,AUS,DFW,190,7,9,0,NA,0,NA,NA,NA,NA,NA,-8
2008,1,1,Tuesday,1428,1405,1648,1650,AA,1053,N481AA,140,165,125,-2,23,ORD,AUS,978,4,11,0,NA,0,NA,NA,NA,NA,NA,-25
2008,1,1,Tuesday,1440,1345,1532,1445,AA,1587,N589AA,52,60,38,47,55,DFW,AUS,190,3,11,0,NA,0,20,0,0,0,27,-8
2008,1,1,Tuesday,1520,1520,1626,1620,AA,559,N201AA,66,60,38,6,0,DFW,AUS,190,6,22,0,NA,0,NA,NA,NA,NA,NA,6
2008,1,1,Tuesday,1610,1600,1900,1840,AA,346,N580AA,170,160,139,20,10,AUS,ORD,978,16,15,0,NA,0,0,0,20,0,0,10
2008,1,1,Tuesday,1623,1505,1752,1650,AA,1023,N589AA,209,225,195,62,78,AUS,SJC,1476,2,12,0,NA,0,25,0,0,0,37,-16
2008,1,1,Tuesday,1630,1630,1723,1730,AA,1215,N3APAA,53,60,35,-7,0,DFW,AUS,190,5,13,0,NA,0,NA,NA,NA,NA,NA,-7
2008,1,1,Tuesday,1655,1705,1847,1905,AA,1646,N4XMAA,112,120,102,-18,-10,AUS,STL,722,2,8,0,NA,0,NA,NA,NA,NA,NA,-8
2008,1,1,Tuesday,1727,1700,1823,1805,AA,463,N201AA,56,65,37,18,27,AUS,DFW,190,8,11,0,NA,0,0,0,14,0,4,-9
2008,1,1,Tuesday,1749,1745,2229,2225,AA,1622,N3BWAA,160,160,143,4,4,SNA,AUS,1209,4,13,0,NA,0,NA,NA,NA,NA,NA,0
2008,1,1,Tuesday,1755,1735,2114,2015,AA,2402,N481AA,199,160,152,59,20,AUS,ORD,978,32,15,0,NA,0,0,0,59,0,0,39
2008,1,1,Tuesday,1809,1810,1921,1910,AA,766,N3APAA,72,60,38,11,-1,AUS,DFW,190,24,10,0,NA,0,NA,NA,NA,NA,NA,12
2008,1,1,Tuesday,1838,1820,2004,2005,AA,1703,N530AA,206,225,193,-1,18,AUS,SJC,1476,4,9,0,NA,0,NA,NA,NA,NA,NA,-19
2008,1,1,Tuesday,1839,1805,1945,1905,AA,563,N3CKAA,66,60,37,40,34,DFW,AUS,190,6,23,0,NA,0,34,0,6,0,0,6
2008,1,1,Tuesday,1839,1740,2107,2030,AA,2293,N410AA,148,170,128,37,59,ORD,AUS,978,6,14,0,NA,0,0,16,0,0,21,-22
2008,1,1,Tuesday,1845,1735,1,2255,AA,502,N589AA,196,200,181,66,70,SJC,AUS,1476,5,10,0,NA,0,12,0,0,0,54,-4
2008,1,1,Tuesday,1850,1845,1959,2000,AA,427,N565AA,189,195,166,-1,5,AUS,LAX,1242,8,15,0,NA,0,NA,NA,NA,NA,NA,-6
2008,1,1,Tuesday,1900,1905,2354,2359,AA,2246,N4XPAA,174,174,152,-5,-5,LAX,AUS,1242,9,13,0,NA,0,NA,NA,NA,NA,NA,0
2008,1,1,Tuesday,1910,1845,1959,1945,AA,1113,N258AA,49,60,37,14,25,DFW,AUS,190,3,9,0,NA,0,NA,NA,NA,NA,NA,-11
2008,1,1,Tuesday,1925,1855,2202,2120,AA,1051,N467AA,217,205,196,42,30,RDU,AUS,1162,4,17,0,NA,0,30,0,12,0,0,12
2008,1,1,Tuesday,1948,1935,2057,2035,AA,1202,N556AA,69,60,39,22,13,DFW,AUS,190,8,22,0,NA,0,13,0,9,0,0,9
2008,1,1,Tuesday,2016,1955,2108,2055,AA,2059,N3CKAA,52,60,36,13,21,AUS,DFW,190,9,7,0,NA,0,NA,NA,NA,NA,NA,-8
2008,1,1,Tuesday,2113,2050,2205,2150,AA,1731,N402AA,52,60,35,15,23,DFW,AUS,190,3,14,0,NA,0,7,0,0,0,8,-8
2008,1,1,Tuesday,2147,2135,2249,2235,AA,417,N498AA,62,60,35,14,12,DFW,AUS,190,10,17,0,NA,0,NA,NA,NA,NA,NA,2
2008,1,1,Tuesday,2247,2135,113,20,AA,2491,N4WLAA,146,165,125,53,72,ORD,AUS,978,8,13,0,NA,0,0,0,1,0,52,-19
2008,1,1,Tuesday,2301,2240,2349,2335,AA,1129,N4XTAA,48,55,31,14,21,DFW,AUS,190,8,9,0,NA,0,NA,NA,NA,NA,NA,-7
2008,1,1,Tuesday,NA,1525,NA,1625,AA,1128,NA,NA,60,NA,NA,NA,AUS,DFW,190,NA,NA,1,A,0,NA,NA,NA,NA,NA,NA
2008,1,1,Tuesday,NA,1915,NA,2015,AA,1566,NA,NA,60,NA,NA,NA,AUS,DFW,190,NA,NA,1,A,0,NA,NA,NA,NA,NA,NA
2008,1,1,Tuesday,NA,1735,NA,1835,AA,479,NA,NA,60,NA,NA,NA,DFW,AUS,190,NA,NA,1,A,0,NA,NA,NA,NA,NA,NA
2008,1,2,Wednesday,559,600,655,700,AA,1157,N4WLAA,56,60,39,-5,-1,AUS,DFW,190,6,11,0,NA,0,NA,NA,NA,NA,NA,-4
2008,1,2,Wednesday,602,600,839,835,AA,1614,N4XTAA,157,155,140,4,2,AUS,ORD,978,5,12,0,NA,0,NA,NA,NA,NA,NA,2
2008,1,2,Wednesday,637,640,808,825,AA,579,N498AA,211,225,193,-17,-3,AUS,SJC,1476,7,11,0,NA,0,NA,NA,NA,NA,NA,-14
2008,1,2,Wednesday,647,650,1155,1145,AA,1182,N4YHAA,188,175,158,10,-3,LAX,AUS,1242,3,27,0,NA,0,NA,NA,NA,NA,NA,13
2008,1,2,Wednesday,702,705,755,805,AA,652,N410AA,53,60,36,-10,-3,AUS,DFW,190,6,11,0,NA,0,NA,NA,NA,NA,NA,-7
2008,1,2,Wednesday,743,740,841,840,AA,1958,N473AA,58,60,40,1,3,AUS,DFW,190,7,11,0,NA,0,NA,NA,NA,NA,NA,-2
2008,1,2,Wednesday,750,755,902,905,AA,1465,N4XPAA,192,190,159,-3,-5,AUS,SNA,1209,19,14,0,NA,0,NA,NA,NA,NA,NA,2
2008,1,2,Wednesday,803,800,900,900,AA,1109,N482AA,57,60,34,0,3,DFW,AUS,190,6,17,0,NA,0,NA,NA,NA,NA,NA,-3
2008,1,2,Wednesday,816,815,1042,1100,AA,1199,N412AA,146,165,126,-18,1,ORD,AUS,978,4,16,0,NA,0,NA,NA,NA,NA,NA,-19
2008,1,2,Wednesday,836,835,935,935,AA,450,N467AA,59,60,36,0,1,AUS,DFW,190,13,10,0,NA,0,NA,NA,NA,NA,NA,-1
2008,1,2,Wednesday,845,850,953,1010,AA,379,N589AA,188,200,163,-17,-5,AUS,LAX,1242,7,18,0,NA,0,NA,NA,NA,NA,NA,-12
2008,1,2,Wednesday,856,900,952,1000,AA,1743,N3BWAA,56,60,37,-8,-4,AUS,DFW,190,9,10,0,NA,0,NA,NA,NA,NA,NA,-4
2008,1,2,Wednesday,903,905,1418,1425,AA,1810,N498AA,195,200,182,-7,-2,SJC,AUS,1476,5,8,0,NA,0,NA,NA,NA,NA,NA,-5
2008,1,2,Wednesday,928,925,1022,1025,AA,421,N457AA,54,60,36,-3,3,DFW,AUS,190,6,12,0,NA,0,NA,NA,NA,NA,NA,-6
2008,1,2,Wednesday,942,945,1037,1045,AA,511,N482AA,55,60,36,-8,-3,AUS,DFW,190,10,9,0,NA,0,NA,NA,NA,NA,NA,-5
2008,1,2,Wednesday,1000,1005,1301,1235,AA,368,N556AA,181,150,146,26,-5,AUS,ORD,978,9,26,0,NA,0,0,0,26,0,0,31
2008,1,2,Wednesday,1054,1050,1151,1155,AA,2024,N402AA,57,65,37,-4,4,AUS,DFW,190,10,10,0,NA,0,NA,NA,NA,NA,NA,-8
