timestamp,boarding,alighting,day_of_week,temperature,hour_of_day,month,weekend
2018-09-01T06:00:00Z,0,1,Sat,74.82,6,Sep,weekend
2018-09-01T06:15:00Z,2,1,Sat,74.82,6,Sep,weekend
2018-09-01T06:30:00Z,3,4,Sat,74.82,6,Sep,weekend
2018-09-01T06:45:00Z,3,4,Sat,74.82,6,Sep,weekend
2018-09-01T07:00:00Z,2,4,Sat,74.39,7,Sep,weekend
2018-09-01T07:15:00Z,4,4,Sat,74.39,7,Sep,weekend
2018-09-01T07:30:00Z,3,12,Sat,74.39,7,Sep,weekend
2018-09-01T07:45:00Z,8,4,Sat,74.39,7,Sep,weekend
2018-09-01T08:00:00Z,4,15,Sat,75.72,8,Sep,weekend
2018-09-01T08:15:00Z,7,10,Sat,75.72,8,Sep,weekend
2018-09-01T08:30:00Z,2,4,Sat,75.72,8,Sep,weekend
2018-09-01T08:45:00Z,1,12,Sat,75.72,8,Sep,weekend
2018-09-01T09:00:00Z,7,15,Sat,79.69,9,Sep,weekend
2018-09-01T09:15:00Z,10,9,Sat,79.69,9,Sep,weekend
2018-09-01T09:30:00Z,11,15,Sat,79.69,9,Sep,weekend
2018-09-01T09:45:00Z,9,22,Sat,79.69,9,Sep,weekend
2018-09-01T10:00:00Z,19,26,Sat,83.2,10,Sep,weekend
2018-09-01T10:15:00Z,16,9,Sat,83.2,10,Sep,weekend
2018-09-01T10:30:00Z,37,10,Sat,83.2,10,Sep,weekend
2018-09-01T10:45:00Z,18,16,Sat,83.2,10,Sep,weekend
2018-09-01T11:00:00Z,18,12,Sat,86.55,11,Sep,weekend
2018-09-01T11:15:00Z,27,34,Sat,86.55,11,Sep,weekend
2018-09-01T11:30:00Z,5,14,Sat,86.55,11,Sep,weekend
2018-09-01T11:45:00Z,20,13,Sat,86.55,11,Sep,weekend
2018-09-01T12:00:00Z,4,10,Sat,88.97,12,Sep,weekend
2018-09-01T12:15:00Z,28,14,Sat,88.97,12,Sep,weekend
2018-09-01T12:30:00Z,17,12,Sat,88.97,12,Sep,weekend
2018-09-01T12:45:00Z,17,21,Sat,88.97,12,Sep,weekend
2018-09-01T13:00:00Z,15,11,Sat,91.11,13,Sep,weekend
2018-09-01T13:15:00Z,22,9,Sat,91.11,13,Sep,weekend
2018-09-01T13:30:00Z,14,15,Sat,91.11,13,Sep,weekend
2018-09-01T13:45:00Z,22,17,Sat,91.11,13,Sep,weekend
2018-09-01T14:00:00Z,27,13,Sat,92.6,14,Sep,weekend
2018-09-01T14:15:00Z,7,12,Sat,92.6,14,Sep,weekend
2018-09-01T14:30:00Z,11,17,Sat,92.6,14,Sep,weekend
2018-09-01T14:45:00Z,17,14,Sat,92.6,14,Sep,weekend
2018-09-01T15:00:00Z,22,13,Sat,94.93,15,Sep,weekend
2018-09-01T15:15:00Z,11,23,Sat,94.93,15,Sep,weekend
2018-09-01T15:30:00Z,26,12,Sat,94.93,15,Sep,weekend
2018-09-01T15:45:00Z,5,17,Sat,94.93,15,Sep,weekend
2018-09-01T16:00:00Z,22,20,Sat,95.24,16,Sep,weekend
2018-09-01T16:15:00Z,18,12,Sat,95.24,16,Sep,weekend
2018-09-01T16:30:00Z,23,7,Sat,95.24,16,Sep,weekend
2018-09-01T16:45:00Z,20,30,Sat,95.24,16,Sep,weekend
2018-09-01T17:00:00Z,16,14,Sat,97.64,17,Sep,weekend
2018-09-01T17:15:00Z,13,17,Sat,97.64,17,Sep,weekend
2018-09-01T17:30:00Z,15,17,Sat,97.64,17,Sep,weekend
2018-09-01T17:45:00Z,34,29,Sat,97.64,17,Sep,weekend
2018-09-01T18:00:00Z,13,19,Sat,97.39,18,Sep,weekend
2018-09-01T18:15:00Z,22,8,Sat,97.39,18,Sep,weekend
2018-09-01T18:30:00Z,6,2,Sat,97.39,18,Sep,weekend
2018-09-01T18:45:00Z,18,14,Sat,97.39,18,Sep,weekend
